crop,emmean,SE,df,lower.CL,upper.CL,.group
GPC,0.005874195074679799,7.653477002493192e-4,33,0.0037886278730907092,0.007959762276268888, a 
WPC,0.006013714924169035,7.653477002493192e-4,33,0.0039281477225799446,0.008099282125758125, a 
CR,0.009586184054260594,7.65347700249319e-4,33,0.0075006168526715045,0.011671751255849683,  b
AR,0.010625232357572173,7.653477002493189e-4,33,0.008539665155983084,0.012710799559161262,  b
PCRO,0.011859189888210659,7.653477002493192e-4,33,0.009773622686621568,0.01394475708979975,  b
