crop,emmean,SE,df,lower.CL,upper.CL,.group
CR,0.010906779285799275,0.0012185933759690391,31,0.007573106959253615,0.014240451612344935, a  
WPC,0.01171766811394385,0.0010541301166592466,31,0.00883391339495007,0.01460142283293763, ab 
GPC,0.013106486630101033,0.0010541301166592468,31,0.010222731911107251,0.015990241349094814, ab 
AR,0.015788561372794236,0.001054130116659247,31,0.012904806653800454,0.018672316091788016,  bc
PCRO,0.018144213135625815,0.0010541301166592464,31,0.015260458416632035,0.021027967854619595,   c
