forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c,forage_mass_loss,forage_pct_remain,forage_prop_c,forage_prop_n,forage_c_g,forage_n_g
77,wiu,pcro,2,t0,7,17.5,17.287,NA,NA,0.21300000000000097,98.78285714285714,NA,NA,NA,NA
78,wiu,pcro,2,t6,8,17.3,12.453,3.13,38.5,4.847000000000001,71.98265895953757,0.385,0.0313,4.794405,0.3897789
79,wiu,pcro,2,t3,9,18.7,17.144,2.55,33.2,1.556000000000001,91.67914438502673,0.332,0.0255,5.691808,0.43717199999999995
80,wiu,pcro,2,t2,10,19.4,19.291,2.59,39.7,0.10899999999999821,99.43814432989691,0.397,0.0259,7.658527,0.4996369
81,wiu,gpc,2,t5,1,20.9,19.096,1.88,19.7,1.8039999999999985,91.36842105263159,0.19699999999999998,0.018799999999999997,3.7619119999999997,0.35900479999999996
82,wiu,gpc,2,t4,2,20.7,18.435,2.51,38,2.2650000000000006,89.05797101449275,0.38,0.025099999999999997,7.005299999999999,0.4627184999999999
83,wiu,gpc,2,t8,3,20.6,18.637,2.3,33.1,1.963000000000001,90.47087378640776,0.331,0.023,6.168847,0.428651
84,wiu,gpc,2,t6,4,21,20.252,2.07,30,0.7480000000000011,96.43809523809523,0.3,0.0207,6.0756,0.4192164
85,wiu,gpc,2,t9,5,20.5,18.684,2.47,29.6,1.815999999999999,91.14146341463415,0.29600000000000004,0.024700000000000003,5.530464000000001,0.4614948000000001
86,wiu,gpc,2,t1,6,20.9,20.513,2.6,41.7,0.3869999999999969,98.14832535885168,0.41700000000000004,0.026000000000000002,8.553921,0.5333380000000001
87,wiu,gpc,2,t0,7,20.9,20.776,NA,NA,0.12399999999999878,99.40669856459331,NA,NA,NA,NA
88,wiu,gpc,2,t3,8,20.9,20.542,2.53,41.8,0.357999999999997,98.28708133971293,0.418,0.0253,8.586556,0.5197126000000001
89,wiu,gpc,2,t2,9,20.7,20.241,2.37,39.4,0.45899999999999963,97.78260869565217,0.39399999999999996,0.023700000000000002,7.974953999999999,0.4797117
90,wiu,gpc,2,t7,10,20.8,17.105,2.71,27.5,3.6950000000000003,82.23557692307692,0.275,0.0271,4.703875000000001,0.4635455
91,wiu,ar,2,t5,1,15.199999999999998,11.792,2.62,39.4,3.4079999999999977,77.57894736842107,0.39399999999999996,0.0262,4.6460479999999995,0.3089504
92,wiu,ar,2,t6,2,15.5,9.414,2.87,38.3,6.086,60.73548387096774,0.38299999999999995,0.0287,3.6055619999999995,0.27018179999999997
93,wiu,ar,2,t9,3,16.2,11.82,2.57,35.400000000000006,4.379999999999999,72.96296296296296,0.35400000000000004,0.025699999999999997,4.18428,0.303774
94,wiu,ar,2,NA,4,16.2,NA,2.59,38.5,NA,NA,0.385,0.0259,NA,NA
95,wiu,ar,2,t0,5,15.499999999999998,15.124999999999998,NA,NA,0.375,97.58064516129032,NA,NA,NA,NA
96,wiu,ar,2,t2,6,15.999999999999998,15.072999999999999,2.48,41,0.9269999999999996,94.20625,0.41,0.0248,6.179929999999999,0.37381039999999993
97,wiu,ar,2,t3,7,15.299999999999999,13.790999999999999,2.55,37.9,1.5090000000000003,90.13725490196079,0.379,0.0255,5.226788999999999,0.35167049999999994
98,wiu,ar,2,t1,8,15.299999999999999,14.899,2.64,41.7,0.4009999999999998,97.37908496732027,0.41700000000000004,0.0264,6.212883000000001,0.39333359999999995
99,wiu,ar,2,t4,9,14.999999999999998,12.047,2.41,41.1,2.9529999999999976,80.31333333333335,0.41100000000000003,0.0241,4.951317,0.2903327
100,wiu,ar,2,NA,10,14.999999999999998,10.17,2.64,35.7,4.829999999999998,67.80000000000001,0.35700000000000004,0.0264,3.6306900000000004,0.268488
101,wiu,gpc,3,t2,1,16.5,16.177,2.19,43.4,0.3230000000000004,98.04242424242425,0.434,0.0219,7.020817999999999,0.3542763
102,wiu,gpc,3,t7,2,14.999999999999998,14.364999999999997,2.31,32.3,0.6350000000000016,95.76666666666665,0.32299999999999995,0.0231,4.639894999999998,0.3318314999999999
103,wiu,gpc,3,t4,3,15.899999999999997,15.467999999999998,2.34,36.7,0.4319999999999986,97.28301886792453,0.36700000000000005,0.023399999999999997,5.676756,0.3619511999999999
104,wiu,gpc,3,t3,4,15.499999999999998,14.658999999999997,2.13,42,0.8410000000000011,94.57419354838709,0.42,0.0213,6.156779999999999,0.3122366999999999
105,wiu,gpc,3,t5,5,15.1,13.576,2.06,28.3,1.5239999999999991,89.90728476821192,0.28300000000000003,0.0206,3.8420080000000008,0.2796656
106,wiu,gpc,3,t8,6,15.6,14.056999999999997,2.55,37.1,1.5430000000000028,90.10897435897434,0.371,0.0255,5.215146999999999,0.35845349999999987
107,wiu,gpc,3,t1,7,15.1,15.204999999999997,2.54,41.4,-0.10499999999999687,100.69536423841056,0.414,0.0254,6.294869999999999,0.3862069999999999
108,wiu,gpc,3,t9,8,15.399999999999997,12.823,2.61,34.7,2.5769999999999964,83.26623376623378,0.34700000000000003,0.026099999999999998,4.449581,0.3346803
109,wiu,gpc,3,t6,9,15.899999999999997,13.238,2.63,42.3,2.6619999999999973,83.25786163522014,0.423,0.0263,5.599673999999999,0.3481594
110,wiu,gpc,3,t0,10,15.699999999999998,15.472999999999997,2.43,42.9,0.2270000000000003,98.55414012738854,0.429,0.024300000000000002,6.637916999999999,0.3759939
111,wiu,wpc,3,t9,1,16.2,14.371999999999998,2.31,44.5,1.8280000000000012,88.71604938271605,0.445,0.0231,6.39554,0.33199319999999993
112,wiu,wpc,3,t0,2,14.799999999999999,14.707999999999997,NA,NA,0.0920000000000023,99.37837837837836,NA,NA,NA,NA
113,wiu,wpc,3,t3,3,15.699999999999998,15.513,2.11,39.2,0.1869999999999976,98.80891719745225,0.392,0.021099999999999997,6.0810960000000005,0.32732429999999996
114,wiu,wpc,3,t4,4,15.899999999999997,13.979999999999999,2.49,42.85,1.9199999999999982,87.92452830188681,0.4285,0.024900000000000002,5.990429999999999,0.34810199999999997
115,wiu,wpc,3,t7,5,14.499999999999998,12.753,2.22,41.7,1.746999999999998,87.95172413793104,0.41700000000000004,0.0222,5.318001000000001,0.2831166
116,wiu,wpc,3,t7,6,14.999999999999998,11.359,3.07,37.6,3.6409999999999982,75.72666666666667,0.376,0.030699999999999998,4.270984,0.34872129999999996
117,wiu,wpc,3,t1,7,14.7,14.905999999999999,2.48,43.7,-0.20599999999999952,101.4013605442177,0.43700000000000006,0.0248,6.513922,0.36966879999999996
118,wiu,wpc,3,t6,8,14.499999999999998,10.601,3.03,32.5,3.8989999999999974,73.11034482758623,0.325,0.030299999999999997,3.4453250000000004,0.3212103
119,wiu,wpc,3,t2,9,13.999999999999998,13.434,2.95,42.4,0.565999999999999,95.95714285714287,0.424,0.029500000000000002,5.696015999999999,0.396303
120,wiu,wpc,3,t5,10,13.699999999999998,11.514,2.74,38.2,2.185999999999998,84.04379562043796,0.382,0.0274,4.3983479999999995,0.3154836
121,wiu,ar,3,t7,1,15.999999999999998,13.412,2.79,29.9,2.5879999999999974,83.82500000000002,0.299,0.0279,4.010188,0.37419480000000005
122,wiu,ar,3,t3,2,16.2,15.631999999999998,2.98,36.6,0.5680000000000014,96.49382716049382,0.366,0.0298,5.721311999999999,0.46583359999999996
123,wiu,ar,3,NA,3,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,wiu,ar,3,t2,4,15.999999999999998,16.149,3.08,43.3,-0.14900000000000269,100.93125000000003,0.433,0.0308,6.992517,0.49738920000000003
125,wiu,ar,3,t1,5,15.499999999999998,15.798999999999998,2.8,43.2,-0.2989999999999995,101.92903225806451,0.43200000000000005,0.027999999999999997,6.825168,0.4423719999999999
126,wiu,ar,3,t8,6,15.699999999999998,10.42,2.77,32,5.279999999999998,66.36942675159236,0.32,0.0277,3.3344,0.288634
127,wiu,ar,3,t5,7,15.6,14.052999999999999,2.55,32.5,1.5470000000000006,90.08333333333333,0.325,0.0255,4.567225,0.35835149999999993
128,wiu,ar,3,t6,8,15.899999999999997,12.949,2.97,38.6,2.950999999999997,81.44025157232706,0.386,0.0297,4.998314,0.3845853
129,wiu,ar,3,t4,9,15.799999999999999,13.507000000000001,3.09,40.5,2.2929999999999975,85.48734177215192,0.405,0.030899999999999997,5.470335000000001,0.4173663
130,wiu,ar,3,t0,10,15.699999999999998,13.973999999999998,NA,NA,1.725999999999999,89.0063694267516,NA,NA,NA,NA
131,wiu,cr,3,t8,1,15.999999999999998,13.382,1.93,40.5,2.6179999999999986,83.6375,0.405,0.019299999999999998,5.41971,0.25827259999999996
132,wiu,cr,3,t9,2,15.499999999999998,12.671,2.01,36.2,2.828999999999999,81.7483870967742,0.36200000000000004,0.020099999999999996,4.586902,0.25468709999999994
133,wiu,cr,3,t3,3,15.499999999999998,14.382999999999997,1.85,35.5,1.1170000000000009,92.79354838709676,0.355,0.018500000000000003,5.1059649999999985,0.2660855
134,wiu,cr,3,t7,4,16.2,13.347,2.17,35.4,2.8529999999999998,82.38888888888889,0.354,0.0217,4.724837999999999,0.2896299
135,wiu,cr,3,t4,5,15.699999999999998,13.749999999999998,1.95,40.9,1.9499999999999993,87.57961783439491,0.409,0.0195,5.623749999999999,0.26812499999999995
136,wiu,cr,3,t0,6,15.899999999999997,15.638,NA,NA,0.2619999999999969,98.35220125786165,NA,NA,NA,NA
137,wiu,cr,3,t1,7,15.799999999999997,15.314999999999998,1.9,43.5,0.48499999999999943,96.93037974683546,0.435,0.019,6.662024999999999,0.29098499999999994
138,wiu,cr,3,t5,8,15.899999999999997,13.407,1.82,36.5,2.4929999999999968,84.32075471698116,0.365,0.0182,4.893555,0.2440074
139,wiu,cr,3,t2,9,15.999999999999998,15.486999999999997,2.25,43,0.5130000000000017,96.79374999999999,0.43,0.0225,6.6594099999999985,0.3484574999999999
140,wiu,cr,3,t6,10,15.999999999999998,12.805,2.51,34.8,3.1949999999999985,80.03125000000001,0.348,0.025099999999999997,4.4561399999999995,0.32140549999999996
141,wiu,pcro,3,t8,1,20.5,16.324,2.89,33.5,4.175999999999998,79.62926829268294,0.335,0.028900000000000002,5.468540000000001,0.47176360000000006
142,wiu,pcro,3,t9,2,19,12.745000000000001,NA,NA,6.254999999999999,67.07894736842105,NA,NA,NA,NA
143,wiu,pcro,3,t2,3,19.8,19.309,2.93,42.1,0.49099999999999966,97.52020202020202,0.42100000000000004,0.029300000000000003,8.129089,0.5657537000000001
144,wiu,pcro,3,t4,4,19.6,15.652,2.93,37.5,3.948000000000002,79.85714285714285,0.375,0.029300000000000003,5.8694999999999995,0.4586036
145,wiu,pcro,3,t5,5,19.7,16.113,2.83,32.4,3.5869999999999997,81.79187817258882,0.324,0.028300000000000002,5.220612,0.4559979
146,wiu,pcro,3,t6,6,19.6,13.784999999999998,3.115,35.6,5.815000000000003,70.33163265306122,0.35600000000000004,0.03115,4.90746,0.42940274999999994
147,wiu,pcro,3,t1,7,18.299999999999997,18.316,2.88,40,-0.01600000000000179,100.08743169398909,0.4,0.0288,7.3264,0.5275008
148,wiu,pcro,3,t0,8,19,18.972,NA,NA,0.027999999999998693,99.85263157894737,NA,NA,NA,NA
149,wiu,pcro,3,t3,9,20,19.225,NA,NA,0.7749999999999986,96.125,NA,NA,NA,NA
150,wiu,pcro,3,t7,10,5.699999999999999,4.461,NA,NA,1.238999999999999,78.26315789473685,NA,NA,NA,NA
151,wiu,wpc,4,t0,1,19,18.875,NA,NA,0.125,99.3421052631579,NA,NA,NA,NA
152,wiu,wpc,4,t5,2,19.7,18.058999999999997,2.77,35.6,1.6410000000000018,91.67005076142131,0.35600000000000004,0.0277,6.429004,0.5002342999999999
153,wiu,wpc,4,t3,3,18.6,18.584,2.61,42,0.01600000000000179,99.91397849462365,0.42,0.026099999999999998,7.80528,0.4850424
154,wiu,wpc,4,t9,4,19.5,16.641,3.04,40.8,2.8590000000000018,85.33846153846153,0.408,0.0304,6.789527999999999,0.5058864
155,wiu,wpc,4,t2,5,20.299999999999997,20.055999999999997,2.88,42.9,0.24399999999999977,98.79802955665025,0.429,0.0288,8.604023999999999,0.5776127999999999
156,wiu,wpc,4,t1,6,20,20.134,3.18,44.3,-0.13400000000000034,100.66999999999999,0.44299999999999995,0.0318,8.919362,0.6402612000000001
157,wiu,wpc,4,t6,7,18.9,15.703,3.13,43,3.196999999999999,83.08465608465609,0.43,0.0313,6.7522899999999995,0.4915039
158,wiu,wpc,4,t7,8,20.1,17.435,2.83,38.2,2.6650000000000027,86.74129353233829,0.382,0.028300000000000002,6.66017,0.49341050000000003
159,wiu,wpc,4,t4,9,20.599999999999998,17.746,3.3,42.9,2.853999999999999,86.14563106796118,0.429,0.033,7.613033999999999,0.585618
160,wiu,wpc,4,t8,10,20.5,17.104,3.3,35,3.396000000000001,83.43414634146342,0.35,0.033,5.9864,0.564432
161,wiu,ar,4,t4,1,17.1,15.275999999999998,2.89,37.2,1.8240000000000034,89.33333333333331,0.37200000000000005,0.028900000000000002,5.682672,0.4414764
162,wiu,ar,4,t3,2,19.1,17.211,2.995,39.900000000000006,1.889000000000003,90.10994764397904,0.3990000000000001,0.02995,6.867189000000001,0.51546945
163,wiu,ar,4,t8,3,16.8,13.04,2.9,35.2,3.7600000000000016,77.6190476190476,0.35200000000000004,0.028999999999999998,4.59008,0.37815999999999994
164,wiu,ar,4,t6,4,17.2,16.288,2.39,26.6,0.911999999999999,94.69767441860466,0.266,0.0239,4.3326080000000005,0.38928320000000005
165,wiu,ar,4,t5,5,17.3,17.416,2.5,34.6,-0.11599999999999966,100.67052023121389,0.34600000000000003,0.025,6.025936000000001,0.4354
166,wiu,ar,4,t0,6,18.7,17.257,NA,NA,1.4429999999999978,92.28342245989306,NA,NA,NA,NA
167,wiu,ar,4,t1,7,16.4,16.631,3.14,41.7,-0.23100000000000165,101.40853658536587,0.41700000000000004,0.031400000000000004,6.9351270000000005,0.5222134
168,wiu,ar,4,t7,8,17.4,13.122,2.84,33.1,4.277999999999999,75.41379310344828,0.331,0.028399999999999998,4.343382,0.37266479999999996
169,wiu,ar,4,t9,9,18,17.230999999999998,2.77,39.7,0.7690000000000019,95.72777777777776,0.397,0.0277,6.840706999999999,0.4772986999999999
170,wiu,ar,4,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,wiu,cr,4,t2,1,19.799999999999997,19.112,2.43,44,0.6879999999999988,96.52525252525254,0.44,0.024300000000000002,8.409279999999999,0.4644216
172,wiu,cr,4,t5,2,20,16.428,2.32,42.3,3.571999999999999,82.14,0.423,0.0232,6.949044,0.3811296
173,wiu,cr,4,t4,3,19.5,16.744999999999997,2.31,41.6,2.7550000000000026,85.87179487179486,0.41600000000000004,0.0231,6.96592,0.3868094999999999
174,wiu,cr,4,t3,4,19.7,18.081,NA,NA,1.6189999999999998,91.78172588832487,NA,NA,NA,NA
175,wiu,cr,4,t9,5,19.5,15.135999999999997,2.64,41.6,4.3640000000000025,77.62051282051281,0.41600000000000004,0.0264,6.296575999999999,0.39959039999999996
176,wiu,cr,4,t0,6,19.7,19.499,1.82,40.5,0.2010000000000005,98.97969543147208,0.405,0.0182,7.897095,0.35488179999999997
177,wiu,cr,4,t1,7,19.7,19.473,2.12,43.2,0.2270000000000003,98.84771573604061,0.43200000000000005,0.0212,8.412336,0.41282759999999996
178,wiu,cr,4,t7,8,19.7,14.737999999999998,2.5,43,4.9620000000000015,74.81218274111674,0.43,0.025,6.337339999999999,0.36844999999999994
179,wiu,cr,4,t8,9,19.9,15.403999999999998,2.6,39.6,4.496,77.40703517587939,0.396,0.026000000000000002,6.099983999999999,0.40050399999999997
180,wiu,cr,4,t6,10,20.4,15.841,2.5,39.8,4.558999999999999,77.65196078431373,0.39799999999999996,0.025,6.304717999999999,0.396025
181,wiu,gpc,4,t3,1,14.499999999999998,13.982999999999999,2.58,41.2,0.5169999999999995,96.43448275862069,0.41200000000000003,0.0258,5.760996,0.36076139999999995
182,wiu,gpc,4,t4,2,14.699999999999998,12.817,2.95,41.3,1.8829999999999973,87.1904761904762,0.413,0.029500000000000002,5.2934209999999995,0.37810150000000003
183,wiu,gpc,4,t6,3,14.899999999999997,11.597,NA,NA,3.3029999999999973,77.83221476510069,NA,NA,NA,NA
