bag_no,location,crop,block,sample_time,forage_initial_drywt_g,forage_final_drywt_g,tea_id,tea_final_drywt_g,tea_initial_drywt_g
52,wiu,wpc,2,t2,20.1,20.05,22,1.856,2.1
53,wiu,wpc,2,t4,20.4,18.652,85,2.02,2.2
54,wiu,wpc,2,t6,20.6,18.705,68,1.961,2.1
55,wiu,wpc,2,t0,20.7,20.373,86,2.031,2.1
56,wiu,wpc,2,t1,20.1,20.405,88,2.188,2.3
57,wiu,wpc,2,t3,20.2,20.968,87,2.241,2.2
58,wiu,wpc,2,t7,21.2,18.065,84,1.544,2
61,wiu,cr,2,t4,15.499999999999998,13.272,69,1.388,2.1
63,wiu,cr,2,t0,15.499999999999998,15.475,70,2.117,2.1
64,wiu,cr,2,t1,15.299999999999997,14.991,29,1.971,2.2
65,wiu,cr,2,t2,15.6,15.234,63,2.095,2.4
66,wiu,cr,2,t7,15.6,12.601,64,1.298,2.4
67,wiu,cr,2,t5,15.499999999999998,12.646,61,1.218,2.2
68,wiu,cr,2,t3,15.399999999999997,14.495,89,1.834,2.1
69,wiu,cr,2,t8,14.499999999999998,11.159,67,1.205,2.2
70,wiu,cr,2,t6,15.499999999999998,12.497,59,1.149,2.1
71,wiu,pcro,2,t8,17.4,14.450999999999997,72,1.572,2.2
72,wiu,pcro,2,t5,16.799999999999997,14.721,76,1.879,2.3
73,wiu,pcro,2,t4,16.799999999999997,13.895999999999997,31,1.7,2.3
74,wiu,pcro,2,t9,16.5,15.006999999999998,74,1.971,2.2
75,wiu,pcro,2,t1,17.099999999999998,17.304,69,1.979,2.1
76,wiu,pcro,2,t7,16.7,15.801999999999998,71,1.681,2.1
77,wiu,pcro,2,t0,17.5,17.287,77,2.067,2.1
78,wiu,pcro,2,t6,17.3,12.453,80,1.474,2.2
79,wiu,pcro,2,t3,18.7,17.144,75,1.993,2.1
80,wiu,pcro,2,t2,19.4,19.291,78,2.155,2.1
81,wiu,gpc,2,t5,20.9,19.096,85,2.726,2.2
82,wiu,gpc,2,t4,20.7,18.435,55,1.63,2.2
83,wiu,gpc,2,t8,20.6,18.637,57,1.572,2.2
84,wiu,gpc,2,t6,21,20.252,60,1.765,2.1
86,wiu,gpc,2,t1,20.9,20.513,55,2.141,2.2
87,wiu,gpc,2,t0,20.9,20.776,59,2.046,2.1
88,wiu,gpc,2,t3,20.9,20.542,51,1.641,2.1
89,wiu,gpc,2,t2,20.7,20.241,54,1.976,2.1
90,wiu,gpc,2,t7,20.8,17.105,53,1.766,2.2
91,wiu,ar,2,t5,15.199999999999998,11.792,96,1.554,2.1
92,wiu,ar,2,t6,15.5,9.414,98,1.455,2.2
93,wiu,ar,2,t9,16.2,11.82,93,1.534,2.2
95,wiu,ar,2,t0,15.499999999999998,15.124999999999998,99,2.109,2.2
96,wiu,ar,2,t2,15.999999999999998,15.072999999999999,92,1.959,2.2
97,wiu,ar,2,t3,15.299999999999999,13.790999999999999,74,2.137,2.2
98,wiu,ar,2,t1,15.299999999999999,14.899,91,2.11,2.2
99,wiu,ar,2,t4,14.999999999999998,12.047,100,1.703,2.3
101,wiu,gpc,3,t2,16.5,16.177,103,2.01,2.2
103,wiu,gpc,3,t4,15.899999999999997,15.467999999999998,109,1.826,2.3
104,wiu,gpc,3,t3,15.499999999999998,14.658999999999997,102,1.947,2.2
105,wiu,gpc,3,t5,15.1,13.576,107,2.292,2.4
106,wiu,gpc,3,t8,15.6,14.056999999999997,116,1.763,2.2
107,wiu,gpc,3,t1,15.1,15.204999999999997,101,1.984,2.1
108,wiu,gpc,3,t9,15.399999999999997,12.823,103,1.652,2.2
109,wiu,gpc,3,t6,15.899999999999997,13.238,104,1.45,2.2
110,wiu,gpc,3,t0,15.699999999999998,15.472999999999997,106,2.052,2.3
111,wiu,wpc,3,t9,16.2,14.371999999999998,120,1.548,2
112,wiu,wpc,3,t0,14.799999999999999,14.707999999999997,112,2.089,2.1
113,wiu,wpc,3,t3,15.699999999999998,15.513,118,1.903,2.1
115,wiu,wpc,3,t7,14.499999999999998,12.753,111,1.404,2.2
116,wiu,wpc,3,t7,14.999999999999998,11.359,113,1.462,2.1
117,wiu,wpc,3,t1,14.7,14.905999999999999,114,2.062,2.1
118,wiu,wpc,3,t6,14.499999999999998,10.601,115,1.668,2.1
119,wiu,wpc,3,t2,13.999999999999998,13.434,119,1.846,2.1
120,wiu,wpc,3,t5,13.699999999999998,11.514,117,1.685,2
121,wiu,ar,3,t7,15.999999999999998,13.412,136,2.144,2
122,wiu,ar,3,t3,16.2,15.631999999999998,137,1.927,2.1
124,wiu,ar,3,t2,15.999999999999998,16.149,138,1.927,2.2
125,wiu,ar,3,t1,15.499999999999998,15.798999999999998,135,2.074,2.1
126,wiu,ar,3,t8,15.699999999999998,10.42,133,1.593,2.1
127,wiu,ar,3,t5,15.6,14.052999999999999,139,1.573,2.1
128,wiu,ar,3,t6,15.899999999999997,12.949,134,1.598,2.2
129,wiu,ar,3,t4,15.799999999999999,13.507000000000001,140,1.798,2.1
130,wiu,ar,3,t0,15.699999999999998,13.973999999999998,131,1.994,2.1
131,wiu,cr,3,t8,15.999999999999998,13.382,141,1.22,2.1
132,wiu,cr,3,t9,15.499999999999998,12.671,143,1.261,2.3
133,wiu,cr,3,t3,15.499999999999998,14.382999999999997,148,1.538,2.2
134,wiu,cr,3,t7,16.2,13.347,144,1.348,2.2
135,wiu,cr,3,t4,15.699999999999998,13.749999999999998,145,1.352,2.1
136,wiu,cr,3,t0,15.899999999999997,15.638,142,2.015,2.1
137,wiu,cr,3,t1,15.799999999999997,15.314999999999998,149,2.276,2.3
138,wiu,cr,3,t5,15.899999999999997,13.407,66,1.586,2.1
139,wiu,cr,3,t2,15.999999999999998,15.486999999999997,150,1.831,2.2
140,wiu,cr,3,t6,15.999999999999998,12.805,146,1.279,2
141,wiu,pcro,3,t8,20.5,16.324,122,1.568,2.1
142,wiu,pcro,3,t9,19,12.745000000000001,127,2.08,2.2
143,wiu,pcro,3,t2,19.8,19.309,129,1.904,2.2
144,wiu,pcro,3,t4,19.6,15.652,130,2.289,2.1
145,wiu,pcro,3,t5,19.7,16.113,125,2.609,2.3
146,wiu,pcro,3,t6,19.6,13.784999999999998,124,1.709,2.1
147,wiu,pcro,3,t1,18.299999999999997,18.316,128,2.057,2.1
148,wiu,pcro,3,t0,19,18.972,126,2.014,2.1
149,wiu,pcro,3,t3,20,19.225,123,2.44,2
151,wiu,wpc,4,t0,19,18.875,152,2.152,2.2
152,wiu,wpc,4,t5,19.7,18.058999999999997,153,1.78,2.1
154,wiu,wpc,4,t9,19.5,16.641,159,1.422,2.2
155,wiu,wpc,4,t2,20.299999999999997,20.055999999999997,160,1.971,2.2
156,wiu,wpc,4,t1,20,20.134,158,1.874,2
157,wiu,wpc,4,t6,18.9,15.703,157,1.585,2.3
158,wiu,wpc,4,t7,20.1,17.435,155,1.529,2.2
159,wiu,wpc,4,t4,20.599999999999998,17.746,151,1.684,2.1
160,wiu,wpc,4,t8,20.5,17.104,156,1.712,2.1
161,wiu,ar,4,t4,17.1,15.275999999999998,105,1.61,2.3
162,wiu,ar,4,t3,19.1,17.211,162,1.92,2.2
163,wiu,ar,4,t8,16.8,13.04,198,1.985,2.2
164,wiu,ar,4,t6,17.2,16.288,164,1.918,2.1
165,wiu,ar,4,t5,17.3,17.416,166,1.919,2.1
166,wiu,ar,4,t0,18.7,17.257,167,2.064,2.2
167,wiu,ar,4,t1,16.4,16.631,168,2.118,2.3
168,wiu,ar,4,t7,17.4,13.122,164,1.613,2.1
169,wiu,ar,4,t9,18,17.230999999999998,163,1.983,2.2
171,wiu,cr,4,t2,19.799999999999997,19.112,189,1.798,2.1
172,wiu,cr,4,t5,20,16.428,185,1.344,2.1
