location,crop,forage_id,tea_id,block,forage_bag_wt_g,forage_initial_drywt_g,staple_weight,sample_time,forage_final_drywt_g,tea_final_drywt_g,tea_initial_drywt_g,forage_pct_n,forage_pct_c,tea_pct_n,tea_pct_c,days
WIU,CR,40,35,1,2.4,17.1,0.1,t6,13.035,NA,2.1,1.96,34.6,NA,NA,20
WIU,AR,41,19,1,2.4,11.6,0.1,t4,9.31,1.653,2.2999999999999998,2.77,35.1,4.09,41.9,12
WIU,AR,42,81,1,2.4,12.3,0.1,t8,8.922,1.338,2.2999999999999998,2.49,38.6,4.3,43.9,30
WIU,AR,43,11,1,2.4,11.6,0.1,t2,11.028,1.894,2.1,2.58,39.5,3.82,45.7,6
WIU,AR,44,12,1,2.4,11.8,0.1,t1,11.988,1.981,2,2.69,40.2,3.43,45.7,4
WIU,AR,45,530,1,2.4,11.9,0.1,t0,11.867,2.017,2.2000000000000002,2.61,41.3,3.85,49.5,0
WIU,AR,46,524,1,2.4,12,0.1,t9,7.891,NA,2.1,2.71,37.7,0.498,3.97,35
WIU,AR,47,17,1,2.5,12.6,0.1,t3,11.484,2.032,2.4,2.51,39.8,3.39,41.4,8
WIU,AR,48,13,1,2.4,12.2,0.1,t7,8.735,1.355,2,2.65,40,NA,NA,25
WIU,AR,49,16,1,2.4,12.9,0.1,t6,9.856,1.56,2.2000000000000002,2.64,36.9,4.2,44.4,20
WIU,AR,50,18,1,2.4,13.3,0.1,t5,8.912,1.513,2.1,2.55,36,2.89,30.2,16
WIU,WPC,51,83,2,2.3,20.200000000000003,0.1,t8,18.664,1.875,2.2999999999999998,2.53,35.9,2.68,28.1,30
WIU,WPC,52,22,2,2.4,20.1,0.1,t2,20.05,1.856,2.1,2.49,40.2,3.05,42.1,6
WIU,WPC,53,58,2,2.4,20.4,0.1,t4,18.652,2.02,2.1,2.61,39.7,3.41,36.9,12
WIU,WPC,54,82,2,2.4,20.6,0.1,t6,18.705,1.961,2.2999999999999998,2.61,34.7,NA,NA,20
WIU,WPC,55,86,2,2.4,20.7,0.1,t0,20.373,2.031,2.1,2.665,43.15,3.97,46.8,0
WIU,WPC,56,88,2,2.4,20.1,0.1,t1,20.405,2.188,2.2999999999999998,2.58,41.8,3.81,48,4
WIU,WPC,57,87,2,2.5,20.2,0.1,t3,20.968,2.241,2.2000000000000002,2.07,36.3,2.17,24.5,8
WIU,WPC,58,84,2,2.4,21.2,0.1,t7,18.065,1.544,2,2.37,37.6,3.22,37.9,25
WIU,WPC,60,40,2,2.4,21.3,0.1,t9,18.373,NA,2,2.29,34.8,2.49,26.4,35
WIU,CR,61,69,2,2.4,15.5,0.1,t4,13.272,1.388,2.1,2,41.4,4.47,47.4,12
WIU,CR,62,65,2,2.4,15.600000000000001,0.1,t9,12.61,NA,2,2.51,33,NA,NA,35
WIU,CR,63,70,2,2.4,15.5,0.1,t0,15.475000000000001,2.117,2.1,1.965,42.525,3.485,46.825,0
WIU,CR,64,62,2,2.5,15.299999999999999,0.1,t1,14.991000000000001,1.971,2.1,1.64,42.3,3.34,41.9,4
WIU,CR,65,63,2,2.4,15.600000000000001,0.1,t2,15.234000000000002,2.095,2.4,1.7,42.5,3.96,48.5,6
WIU,CR,66,64,2,2.4,15.600000000000001,0.1,t7,12.601,1.298,2.4,2.02,39.8,3.43,39.5,25
WIU,CR,67,NA,2,2.4,15.5,0.1,t5,12.646,1.218,NA,1.84,43.3,NA,NA,16
WIU,CR,68,68,2,2.4,15.399999999999999,0.1,t3,14.495000000000001,1.834,2.1,1.98,42,2.49,25.9,8
WIU,CR,69,67,2,2.4,14.5,0.1,t8,11.159,1.205,2.2000000000000002,2.37,40.5,4.77,44.4,30
WIU,CR,70,NA,2,2.4,15.5,0.1,t6,12.497,1.149,NA,2.05,42,NA,NA,20
WIU,PCRO,71,72,2,2.5,17.4,0.1,t8,14.450999999999999,1.572,2.2000000000000002,2.78,40.7,4,38.7,30
WIU,PCRO,72,76,2,2.5,16.799999999999997,0.1,t5,14.721000000000002,1.879,2.2999999999999998,2.79,38.4,3.2,33.8,16
WIU,PCRO,73,73,2,2.5,16.799999999999997,0.1,t4,13.895999999999999,1.7,2.1,3.06,40,3.54,40.2,12
WIU,PCRO,74,74,2,2.5,16.5,0.1,t9,15.007,1.971,2.2000000000000002,2.49,30.3,2.91,29.5,35
WIU,PCRO,75,75,2,2.5,17.099999999999998,0.1,t1,17.304,1.979,2.1,2.76,42.3,3.11,38.6,4
WIU,PCRO,76,71,2,2.4,16.7,0.1,t7,15.802,1.681,2.1,2.26,25.7,2.88,30.4,25
WIU,PCRO,77,77,2,2.4,17.5,0.1,t0,17.287,2.067,2.1,4.25,44.9,3.83,42.6,0
WIU,PCRO,78,80,2,2.4,17.3,0.1,t6,12.453,1.474,2.2000000000000002,3.13,38.5,4.04,43.7,20
WIU,PCRO,79,79,2,2.4,18.7,0.1,t3,17.144,1.993,2.1,2.84,40.7,3.56,45.8,8
WIU,PCRO,80,78,2,2.4,19.4,0.1,t2,19.291,2.155,2.1,2.59,39.7,3.28,38.9,6
WIU,GPC,81,85,2,2.4,20.9,0.1,t5,19.096,2.126,2.2000000000000002,1.88,19.7,2.35,32.2,16
WIU,GPC,82,55,2,2.4,20.7,0.1,t4,18.435,1.63,2.2000000000000002,2.51,38,3.76,46.7,12
WIU,GPC,83,57,2,2.4,20.6,0.1,t8,18.637,1.572,2.2000000000000002,2.3,33.1,3.07,36.3,30
WIU,GPC,84,60,2,2.4,21,0.1,t6,20.252,1.765,2.1,2.07,30,2.97,30.9,20
WIU,GPC,85,52,2,2.4,20.5,0.1,t9,18.684,NA,2.1,2.47,29.6,NA,NA,35
WIU,GPC,86,56,2,2.4,20.9,0.1,t1,20.513,2.141,2.1,2.6,41.7,NA,NA,4
WIU,GPC,87,59,2,2.4,20.9,0.1,t0,20.776,2.046,2.1,2.24,44,4.89,46,0
WIU,GPC,88,51,2,2.4,20.9,0.1,t3,20.542,1.641,2.1,2.53,41.8,3.35,41.3,8
WIU,GPC,89,54,2,2.4,20.7,0.1,t2,20.241,1.976,2.1,2.37,39.4,NA,NA,6
WIU,GPC,90,53,2,2.4,20.8,0.1,t7,17.105,1.766,2.2000000000000002,2.71,27.5,2.71,27.7,25
WIU,AR,91,96,2,2.4,15.2,0.1,t5,11.792,1.554,2.1,2.62,39.4,3.83,38.4,16
WIU,AR,92,98,2,2.5,15.500000000000002,0.1,t6,9.414,1.455,2.2000000000000002,2.9,38.6,4.28,41,20
WIU,AR,93,93,2,2.4,16.2,0.1,t9,11.82,1.534,2.2000000000000002,2.55,37.7,2.81,29.5,35
WIU,AR,95,99,2,2.4,15.5,0.1,t0,15.125,2.109,2.2000000000000002,2.5275,41.9,4.18,49.025,0
WIU,AR,96,529,2,2.4,16,0.1,t2,15.073,1.959,2.2000000000000002,2.48,41,3.56,44.3,6
WIU,AR,97,95,2,2.4,15.3,0.1,t3,13.791,2.137,2.1,2.55,37.9,3.55,39.2,8
WIU,AR,98,91,2,2.4,15.3,0.1,t1,14.899000000000001,2.11,2.2000000000000002,2.64,41.7,3.73,46.4,4
WIU,AR,99,100,2,2.4,15,0.1,t4,12.047,1.703,2.2999999999999998,2.41,41.1,3.76,40.8,12
WIU,AR,100,95,2,2.4,15,0.1,t7,10.17,1.563,2.1,2.64,35.7,3.55,39.2,25
WIU,GPC,101,105,3,2.4,16.5,0.1,t2,16.177,2.01,2.2999999999999998,2.19,43.4,3.6,45.3,6
